"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1930-10-05","Francja","?","R101","?","?",48,0,NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1931-03-21","Australia","Australian National Airways","?","Fokker F.VII","VH-UMF","8","0",NA
"2","1931-03-31","Stany Zjednoczone","TWA","599","Fokker F10","NC-999","8","0",NA
"3","1931-12-19","Stany Zjednoczone","TWA","?","Ford-4-AT-E-Trimotor","NC7119","?","?",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1932-12-14","Stany Zjednoczone","TWA","?","Ford-5-AT-B-Trimotor","NC-9650","?","?",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1933-03-28","Belgia","Imperial Airways","?","Armstrong Whitworth","G-AACI","15","0",NA
"2","1933-08-29","Stany Zjednoczone","TWA","?","Ford-5-AT-B-Trimotor","NC9607","?","?",NA
"3","1933-10-10","Stany Zjednoczone","United Airlines","?","Boeing 247","NC13304","7","0",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1934-07-27","III Rzesza","Swissair","?","Curtiss T-32 Condor II","CH-170",12,0,NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1935-05-06","Stany Zjednoczone","TWA",6,"Douglas DC-2","?","?","?",NA
"2","1935-10-07","Stany Zjednoczone","United Airlines",4,"Boeing 247","NC13317","12","0",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1936-04-07","Stany Zjednoczone","TWA","1","Douglas DC-2","NC-13721",12,2,""
"2","1936-12-09","Wielka Brytania","KLM","?","Douglas DC-2","PH-AKL",15,2,""
"3","1936-12-28","Polska","Polskie Linie Lotnicze LOT","?","Lockheed L-10 Electra","SP-AYA",2,10,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1937-01-12","Stany Zjednoczone","Western Air Express","7","Boeing 247","NC13315",5,8,""
"2","1937-03-25","Stany Zjednoczone","TWA","15A","Douglas DC-2","NC-13730",13,0,""
"3","1937-11-11","Polska","Polskie Linie Lotnicze LOT","?","Lockheed L-14 Super Electra","SP-AYD",4,8,"osobny artykul"
"4","1937-11-16","Belgia","Sabena","?","Junkers Ju 52","OO-AUB",12,0,""
"5","1937-11-23","Bulgaria","LOT","?","Douglas DC-2-115D","SP-ASJ",6,0,"Tadeusz Dmoszynski"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1938-01-10","Stany Zjednoczone","Northwest Airlines","2","Lockheed L-188 Electra","NC-17388",10,0,""
"2","1938-01-11","Samoa Amerykanskie","Pan Am","?","Sikorsky S-42","?",7,0,""
"3","1938-03-01","Stany Zjednoczone","TWA","8","Douglas DC-2","NC13789",9,0,""
"4","1938-07-22","Rumunia","LOT","?","Lockheed L-14 Super Electra","SP-BNG",14,0,"osobny artykul"
"5","1938-10-25","Australia","Australian National Airways","?","Douglas DC-2","VH-UYC",18,0,""
"6","1938-11-04","Stany Zjednoczone","Jersey Airways","?","de Havilland Express","G-ACZN",14,0,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1939-01-13","Stany Zjednoczone","Northwest Airlines",1,"Lockheed L-14 Super Electra","NC-17389",4,0,NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1940-06-14","Finlandia","Finnair","?","Junkers Ju 52","OH-ALL",9,0,NA
"2","1940-08-31","Stany Zjednoczone","Capital Airlines","19","Douglas DC-3","NC21789",25,0,NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1941-01-23","Stany Zjednoczone","TWA",6,"Douglas DC-3","?","?","?",NA
"2","1941-02-26","Stany Zjednoczone","Eastern Air Lines",21,"Douglas DC-3","NC28394","8","8",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1942-01-16","Stany Zjednoczone","TWA","3","Douglas DC-3","NC1946",22,0,NA
"2","1942-01-30","Indonezja","Qantas","?","Short Empire","G-AEUH",13,5,NA
"3","1942-03-03","Australia","KNILM","?","Douglas DC-3","PK-AFV",4,7,NA
"4","1942-10-23","Stany Zjednoczone","American Airlines","28","Douglas DC-3","NC16017",12,2,NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1943-01-21","Stany Zjednoczone","Pan Am",1104,"Martin M-130","NC-14715",19,0,NA
"2","1943-06-01","Francja","BOAC",777,"Douglas DC-3","G-AGBB",17,0,NA
"3","1943-07-28","Stany Zjednoczone","American Airlines",63,"Douglas DC-3","NC16014",20,2,NA
"4","1943-10-15","Stany Zjednoczone","American Airlines",63,"Douglas DC-3","NC16008",8,0,NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1944-02-10","Stany Zjednoczone","American Airlines",2,"Douglas DC-3","NC21767","24","0",NA
"2","1944-06-20","Stany Zjednoczone","TWA",277,"Douglas C-54 Skymaster","41-37227","7","0",NA
"3","1944-11-04","Stany Zjednoczone","TWA",8,"Douglas DC-3","?","?","?",NA
"4","1944-12-01","Stany Zjednoczone","TWA",13,"Douglas DC-3","?","?","?",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1945-07-12","Stany Zjednoczone","Eastern Air Lines","?","Douglas DC-3","NC25647","3","21",NA
"2","1945-09-26","Stany Zjednoczone","TWA","47","Douglas DC-3","?","?","?",NA
"3","1945-10-05","Stany Zjednoczone","National Airlines","16","Lockheed L-18 Lodestar","NC18199","2","13",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1946-01-06","Stany Zjednoczone","Capital Airlines",105,"Douglas DC-3","NC-21786","3","16",NA
"2","1946-07-02","Stany Zjednoczone","TWA",456,"Douglas DC-3","?","?","?",NA
"3","1946-07-11","Stany Zjednoczone","TWA",513,"Lockheed Constellation","NC86513","5","1",NA
"4","1946-12-28","Stany Zjednoczone","TWA",6963,"Lockheed Constellation","NC86505","?","?",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1947-05-11","Stany Zjednoczone","TWA","?","Lockheed Constellation","NC86508","?","?",NA
"2","1947-05-29","Stany Zjednoczone","United Airlines","521","Douglas DC-4","NC30046","42","6",NA
"3","1947-08-12","Argentyna","BSAA","?","Avro Lancastrian","G-AGWH","13","0",NA
"4","1947-08-28","Norwegia","DNL","?","Short Sandringham","LN-IAV","35","0",NA
"5","1947-10-24","Stany Zjednoczone","United Airlines","608","Douglas DC-6","NC37510","52","0",NA
"6","1947-11-18","Stany Zjednoczone","TWA","?","Lockheed Constellation","NC86507","?","?",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1948-01-30","Bermudy","BSAA","?","Avro Tudor IV","G-AHNP","31","0",NA
"2","1948-03-12","Stany Zjednoczone","Northwest Airlines","4422","Douglas C-54 Skymaster","NC95422","30","0",NA
"3","1948-04-05","Niemcy","British European Airways","?","Vickers Viking","G-AIVP","15","0",NA
"4","1948-04-21","Wielka Brytania","British European Airways","S200P","Vickers Viking","G-AIVE","0","20",NA
"5","1948-06-17","Stany Zjednoczone","United Airlines","624","Douglas DC-6","NC37506","43","0",NA
"6","1948-07-04","Wielka Brytania","SAS","?","Douglas DC-6","SE-BDA","39","0",NA
"7","1948-07-17","Chiny","Cathay Pacific","?","Consolidated PBY Catalina","VR-HDT","25","1",NA
"8","1948-08-29","Stany Zjednoczone","Northwest Airlines","421","Martin 202","NC93044","37","0",NA
"9","1948-10-02","Norwegia","DNL","?","Short Sandringham","LN-IAW","19","24",NA
"10","1948-10-20","Wielka Brytania","KLM","?","Lockheed Constellation","PH-TEN","40","0",NA
"11","1948-11-25","Stany Zjednoczone","TWA","211","Lockheed Constellation","?","?","?",NA
"12","1948-12-28","Stany Zjednoczone","Airborne Transport","?","Douglas DC-3","NC16002","32","0",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1949-01-17","Bermudy","BSAA","?","Avro Tudor IV","G-AGRE","20","0",""
"2","1949-02-19","Wielka Brytania","British European Airways","?","Douglas C-47 Skytrain","G-AHCW","14","0",""
"3","1949-03-02","Kanada","TWA","924","Douglas C-54","?","?","?",""
"4","1949-05-04","Wlochy","Avio Linee Italiane","?","Fiat G.212","I-ELCE","31","0","osobny artykul"
"5","1949-09-09","Kanada","Canadian Pacific Airlines","?","Douglas DC-3","CF-CUA","23","0",""
"6","{{{3}}}-10","Portugalia","Air France","?","Lockheed Constellation","FDA-NZ","46","0",""
"7","1949-11-01","Stany Zjednoczone","Eastern Air Lines","537","Douglas DC-4","N88727","55","1","osobny artykul"
"8","1949-11-20","Norwegia","Aero Holland","?","Douglas DC-3","PH-TFA","34","1",""
"9","1949-11-29","Stany Zjednoczone","American Airlines","157","Douglas DC-6","N90728","28","18",""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1950-03-12","Wielka Brytania","Airflight","?","Avro 689 Tudor","G-AKBY",80,3,""
"2","1950-06-24","Stany Zjednoczone","Northwest Orient Airlines","2501","Douglas DC-4","N95425",58,0,"osobny artykul"
"3","1950-08-31","Egipt","TWA","903","Lockheed Constellation","N6004C",55,0,""
"4","1950-10-31","Wielka Brytania","British European Airways","?","Vickers Viking","G-AHPN",28,2,""
"5","1950-11-03","Francja","Air India","245","Lockheed Constellation","VT-CQP",48,0,""
"6","1950-11-13","Francja","Curtiss Reid Flying","?","Douglas C-54 Skymaster","CF-EDN",52,0,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1951-03-27","Wielka Brytania","Air Transport Charter","?","Douglas DC-3","G-AJVZ",4,2,""
"2","1951-04-25","Stany Zjednoczone","Cubana de Aviación","493","Douglas DC-4","CU-T188",43,0,""
"3","1951-06-22","Liberia","Pan Am","151","Lockheed Constellation","N88846",37,0,""
"4","1951-06-30","Stany Zjednoczone","United Airlines","610","Douglas DC-6","N37543",50,0,"osobny artykul"
"5","1951-08-24","Stany Zjednoczone","United Airlines","615","Douglas DC-6","N37550",50,0,""
"6","1951-11-15","Polska","Polskie Linie Lotnicze LOT","?","Li-2","SP-LKA",16,0,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1952-01-22","Stany Zjednoczone","American Airlines","6780","Convair CV-240","N94229",30,0,NA
"2","1952-04-11","Portoryko","Pan Am","526A","Douglas DC-4","N88899",52,17,NA
"3","1952-04-28","Brazylia","Pan Am","202","Boeing 377 Stratocruiser","N1039V",50,0,NA
"4","1952-06-28","Stany Zjednoczone","American Airlines","910","Douglas DC-6","N90750",2,60,NA
"5","1952-12-06","Bermudy","Cubana de Aviación","?","Douglas DC-4","CU-T397",37,4,NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1953-05-02","Indie","BOAC",783,"de Havilland Comet","G-ALYV",43,0,NA
"2","1953-09-16","Stany Zjednoczone","American Airlines",723,"Convair CV-240","N94255",28,0,NA
"3","1953-10-29","Stany Zjednoczone","BCPA",304,"Douglas DC-6","VH-BPE",19,0,NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1954-01-10","Wlochy","BOAC","781","de Havilland Comet","G-ALYP",35,0,"osobny artykul"
"2","1954-04-08","Wlochy","South African Airways","201","de Havilland Comet","G-ALYY",21,0,""
"3","1954-04-08","Kanada","Trans-Canada Airlines","?","Canadair North Star","?",37,0,""
"4","1954-09-05","Irlandia","KLM","633","Lockheed Constellation","PH-LKY",28,28,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1955-01-12","Stany Zjednoczone","TWA",694,"Martin 202","N93211",15,0,""
"2","1955-02-19","Stany Zjednoczone","TWA",260,"Martin 404","N40416",16,0,""
"3","1955-03-26","Stany Zjednoczone","Pan Am",845,"Boeing 377 Stratocruiser","N1032V",4,19,""
"4","1955-04-11","Indonezja","Air India",NA,"Lockheed Constellation","VT-DEP",16,3,""
"5","1955-07-27","Bulgaria","El Al",402,"Lockheed Constellation","4X-AKC",58,0,"osobny artykul"
"6","1955-10-06","Stany Zjednoczone","United Airlines",409,"Douglas DC-4","N30062",66,0,""
"7","1955-11-01","Stany Zjednoczone","United Airlines",629,"Douglas DC-6","N37559",44,0,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1956-04-01","Stany Zjednoczone","TWA",400,"Martin 404","N40403","22",14,""
"2","1956-04-02","Stany Zjednoczone","Northwest Orient Airlines",2,"Boeing 377 Stratocruiser","N74608","5",33,""
"3","1956-06-30","Stany Zjednoczone","United Airlines",718,"Douglas DC-7","N6324C","58 (128)",0,"osobny artykul"
"4","1956-06-30","Stany Zjednoczone","TWA",2,"Lockheed Constellation","N6902C","70 (128)",0,"osobny artykul"
"5","1956-07-09","Stany Zjednoczone","Trans-Canada Air Lines",NA,"Vickers Viscount","CF-TGR","1",34,""
"6","1956-10-16","Stany Zjednoczone","Pan Am",6,"Boeing 377 Stratocruiser","N90943","0",31,""
"7","1956-12-09","Kanada","Trans-Canada Air Lines",810,"Canadair North Star","CF-TFD","62",0,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1957-02-01","Stany Zjednoczone","Northeast Airlines","823","Douglas DC-6","N34954",20,81,""
"2","1957-03-14","Wielka Brytania","British European Airways","411","Vickers Viscount","G-ALWE",22,0,""
"3","1957-06-14","ZSRR","Polskie Linie Lotnicze LOT","232","Il-14","SP-LNF",9,0,"osobny artykul"
"4","1957-11-08","Ocean Spokojny","Pan Am","7","Boeing 377 Stratocruiser","N90944",44,0,""
"5","1957-11-15","Wielka Brytania","Aquila Airways","?","Short Solent","G-AKNU",45,13,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1958-02-06","Niemcy","British European Airways","609","Airspeed Ambassador","G-ALZU",23,21,"osobny artykul"
"2","1958-02-27","Wielka Brytania","Manx Airlines","?","Bristol Freighter","G-AICS",35,7,""
"3","1958-04-06","Stany Zjednoczone","Capital Airlines","67","Vickers Viscount","N7437",47,0,""
"4","1958-04-21","Stany Zjednoczone","United Airlines","736","Douglas DC-7","N6328C",49,0,""
"5","1958-08-09","Libia","Central African Airways","?","Vickers Viscount","VP-YNE",36,18,"osobny artykul"
"6","1958-08-14","Irlandia","KLM","607","Lockheed Constellation","PH-LKM",99,0,""
"7","1958-10-22","Wlochy","British European Airways","142","Vickers Viscount","G-ANHC",32,0,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1959-02-03","Stany Zjednoczone","American Airlines",320,"Lockheed L-188 Electra","N6101A","65","8",NA
"2","1959-02-17","Wielka Brytania","Turkish Airlines",NA,"Vickers Viscount","TC-SEV","14","10",NA
"3","1959-05-12","Stany Zjednoczone","Capital Airlines",75,"Vickers Viscount","N7463","31","0",NA
"4","1959-06-26","Stany Zjednoczone","TWA",891,"Lockheed L-1649A Starliners","N7313C","68","0",NA
"5","1959-09-29","Stany Zjednoczone","Braniff International",542,"Lockheed L-188 Electra","N9705C","34","0",NA
"6","1959-10-30","Stany Zjednoczone","Piedmont Airlines",349,"Douglas DC-3","N55V","26","1",NA
"7","1959-11-16","Stany Zjednoczone","National Airlines",967,"Douglas DC-7","N4891C","42","0.",NA
"8","1959-11-21","Liban","Ariana Afghan Airlines",202,"Douglas DC-4","YA-BAG","24","3",NA
"9","1959-11-24","Stany Zjednoczone","TWA",595,"Lockheed Super Constellation","?","?","?",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1960-01-06","Stany Zjednoczone","National Airlines","2511","Douglas DC-6","N8225H","34",0,""
"2","1960-01-18","Stany Zjednoczone","Capital Airlines","20","Vickers Viscount","N7462","50",0,""
"3","1960-01-19","Turcja","SAS","871","Sud Aviation Caravelle","OY-KRB","42",0,""
"4","1960-01-21","Jamajka","Avianca","671","Lockheed Constellation","HK-177","37",9,"osobny artykul"
"5","1960-02-25","Brazylia","Real Transportes Aéreos","?","Douglas DC-3","PP-AXD","61",3,""
"6","1960-03-17","Stany Zjednoczone","Northwest Orient Airlines","710","Lockheed L-188 Electra","N121US","63",0,""
"7","1960-06-10","Australia","Trans Australia Airlines","538","Fokker F27","VH-TFB","29",0,""
"8","1960-07-15","Etiopia","Ethiopian Airlines","372","Douglas C-47 Skytrain","ET-T-18","1",10,""
"9","1960-10-04","Stany Zjednoczone","Eastern Air Lines","375","Lockheed L-188 Electra","N5533","62",10,""
"10","1960-10-29","Stany Zjednoczone","Arctic Pacific","?","Curtiss C-46 Commando","N1244N","22",26,""
"11","1960-12-16","Stany Zjednoczone","United Airlines","826","McDonnell Douglas DC-8","N8031U","84 (134)",0,"osobny artykul"
"12","1960-12-16","Stany Zjednoczone","TWA","266","Lockheed Constellation","N6907C","44 (134)",0,"osobny artykul"
